Date,Temp(°C),DewPoint(°C),Humidi(%),WindSpeed(mps),Press(hpa),SST(°C),Cloud_Fraction,Long_wave_radiation_flux,Short_wave_radiation_flux,Precipitation
1/1/2008,10.55555556,1.833333333,62.4,2.726866339,1009.14422,18.5,0.989199975,-54.5279465,76.3652649,3.87936
1/2/2008,10.33333333,7.944444444,85.6,2.011622709,1009.14422,18.3,0.854499978,-25.521553,45.6357079,0.43956
1/3/2008,10.61111111,6.166666667,75.3,2.235136343,1009.14422,18.7,0.545999986,-62.3282089,64.6311035,0.2862
1/4/2008,9.166666667,-6.888888889,36.2,8.582923558,1012.53061,19.1,0.203699995,-112.145699,111.238106,0.83052
1/5/2008,8.055555556,-8.333333333,31.4,8.717031739,1019.30339,18.8,0.303099992,-121.40239,112.684929,0
1/6/2008,8.944444444,-5.444444444,40.3,4.157353599,1019.30339,18.7,0.892099977,-97.7877884,107.974739,0.5886
1/7/2008,8.944444444,-0.388888889,54.2,2.637460885,1012.53061,18.8,0.145499996,-91.5407867,104.798752,0
1/8/2008,12.11111111,-4,42.4,6.124273581,1012.53061,19,0.219699994,-98.5961151,110.336189,0
1/9/2008,9.722222222,-7,34.1,5.856057219,1015.917,18.9,0.454299989,-107.927216,111.864204,2.2464
1/10/2008,8.166666667,-8.444444444,30.8,6.079570854,1015.917,18.2,0.090599998,-117.388351,118.024757,0
1/11/2008,6.777777778,-7.277777778,38.5,3.665623603,1019.30339,18.1,0.252999994,-117.191162,118.807716,0
1/12/2008,6.222222222,-7.777777778,39.9,2.9950827,1019.30339,18.1,0.091899998,-117.934418,121.155434,0
1/13/2008,5.5,-6.944444444,45.5,2.324541797,1019.30339,18.1,0.213999995,-115.35183,121.62735,0
1/14/2008,6.388888889,-8,53.1,2.503352705,1019.30339,18,0.174999996,-108.225471,120.442947,0
1/15/2008,7.833333333,0.777777778,65.5,2.548055431,1019.30339,18,0.850399979,-51.8115921,90.9016266,0.00648
1/16/2008,10.05555556,3.222222222,64.8,2.637460885,1019.30339,17.8,0.835099979,-65.8181458,113.946999,0
1/17/2008,8.5,6.555555556,86.7,2.9950827,1019.30339,17.7,0.838599979,-28.4211769,36.0663872,0.00864
