Date(d.m.y);Temperature (°F);Dew Point (°F);Humidity (%);Wind Speed (mph);Pressure (in);;;;;;;;;;;;;;;;;;;;;;
1.01.2007;41.2;22.7;53.8;2.6;30.3;;;;;;;;;;;;;;;;;;;;;;
2.01.2007;46.4;29.1;58.7;2.5;30.3;;;;;;;;;;;;;;;;;;;;;;
3.01.2007;50.9;39.6;67.4;4.7;30.2;;;;;;;;;;;;;;;;;;;;;;
4.01.2007;53.4;28.0;45.4;12.3;30.1;;;;;;;;;;;;;;;;;;;;;;
5.01.2007;48.3;29.5;53.1;11.8;29.8;;;;;;;;;;;;;;;;;;;;;;
6.01.2007;46.2;28.8;65.6;2.7;30.0;;;;;;;;;;;;;;;;;;;;;;
7.01.2007;48.8;26.0;49.6;6.0;30.1;;;;;;;;;;;;;;;;;;;;;;
8.01.2007;44.0;23.4;48.0;2.2;30.2;;;;;;;;;;;;;;;;;;;;;;
9.01.2007;44.7;26.2;54.0;2.6;30.2;;;;;;;;;;;;;;;;;;;;;;
10.01.2007;46.8;26.7;50.0;3.7;30.2;;;;;;;;;;;;;;;;;;;;;;
11.01.2007;47.9;24.9;44.6;4.5;30.1;;;;;;;;;;;;;;;;;;;;;;
12.01.2007;46.5;23.5;43.1;2.3;30.0;;;;;;;;;;;;;;;;;;;;;;
13.01.2007;45.0;23.3;53.5;2.0;30.1;;;;;;;;;;;;;;;;;;;;;;
14.01.2007;46.7;29.1;62.9;3.1;30.1;;;;;;;;;;;;;;;;;;;;;;
15.01.2007;48.4;27.5;60.0;2.7;30.1;;;;;;;;;;;;;;;;;;;;;;
16.01.2007;52.0;24.3;45.7;6.6;30.1;;;;;;;;;;;;;;;;;;;;;;
17.01.2007;47.3;26.2;53.1;2.2;30.2;;;;;;;;;;;;;;;;;;;;;;
18.01.2007;47.9;28.6;63.0;2.9;30.3;;;;;;;;;;;;;;;;;;;;;;
19.01.2007;50.6;40.9;70.2;3.5;30.1;;;;;;;;;;;;;;;;;;;;;;
20.01.2007;49.1;43.2;83.9;10.8;29.8;;;;;;;;;;;;;;;;;;;;;;
21.01.2007;52.5;23.5;36.1;10.8;29.9;;;;;;;;;;;;;;;;;;;;;;
22.01.2007;45.3;29.6;63.1;2.4;30.2;;;;;;;;;;;;;;;;;;;;;;
23.01.2007;48.2;33.4;64.6;2.1;30.3;;;;;;;;;;;;;;;;;;;;;;
24.01.2007;51.1;31.6;60.9;2.9;30.1;;;;;;;;;;;;;;;;;;;;;;
