Date,Temp(°C),DewPoint(°C),Humidi(%),WindSpeed(mps),Press(hpa),SST(°C)
1-Jan-07,8.777777778,-3.277777778,48.2,3.755029057,1022.68978,17.9
2-Jan-07,8.611111111,1.055555556,62.6,2.14573089,1022.68978,17.9
3-Jan-07,12.27777778,9.111111111,81.6,5.364327224,1015.917,17.7
4-Jan-07,11,8.444444444,85.1,5.721949039,1009.14422,17.5
5-Jan-07,8.277777778,4.444444444,77.9,4.291461779,1005.75783,17.4
6-Jan-07,8.333333333,-4.444444444,58.6,4.157353599,1012.53061,17.4
7-Jan-07,8.333333333,-3.222222222,44.8,6.124273581,1015.917,17.2
8-Jan-07,7.111111111,-4.777777778,54.4,2.816271793,1019.30339,17.2
9-Jan-07,6.888888889,-1,63.6,2.413947251,1019.30339,16.8
10-Jan-07,7.5,-2.388888889,65,2.458649978,1019.30339,17.1
11-Jan-07,9.722222222,-5.944444444,50.3,3.486812696,1015.917,16.8
12-Jan-07,8.611111111,1.111111111,63.6,2.324541797,1012.53061,16.8
13-Jan-07,9,7.277777778,87.8,2.503352705,1012.53061,16.5
14-Jan-07,10.38888889,5.055555556,71.6,2.548055431,1019.30339,16.7
15-Jan-07,10.55555556,2.888888889,60.7,2.950379973,1015.917,16.7
16-Jan-07,12.33333333,-4.888888889,39.1,5.14081359,1019.30339,16.9
17-Jan-07,10.72222222,-1.166666667,50.2,2.682163612,1019.30339,16.6
18-Jan-07,8.888888889,0.055555556,68.4,2.190433616,1019.30339,16.7
19-Jan-07,11.72222222,7.166666667,74.5,2.369244524,1012.53061,16.7
20-Jan-07,11.55555556,2.388888889,62.1,7.867679928,1005.75783,16.6
21-Jan-07,11.5,-3.5,40,5.498435405,1012.53061,16.9
22-Jan-07,8.444444444,0.5,61.7,2.413947251,1019.30339,16.8
23-Jan-07,9.666666667,5.277777778,74.9,2.235136343,1019.30339,16.6
24-Jan-07,11.16666667,7.5,78.7,1.877514528,1019.30339,16.6
25-Jan-07,10.77777778,5.666666667,73,2.369244524,1019.30339,16.3
26-Jan-07,12.27777778,3.333333333,57.8,2.771569066,1015.917,16.6
27-Jan-07,11.55555556,4.722222222,64.6,1.922217255,1012.53061,16.5
28-Jan-07,10.72222222,0.5,54.8,9.924005364,1005.75783,16
29-Jan-07,6.055555556,-7.833333333,39.8,5.319624497,1009.14422,16.1
30-Jan-07,6.888888889,-5.5,44.4,5.364327224,1009.14422,16.2
31-Jan-07,7.444444444,-7.111111111,35.8,6.571300849,1012.53061,16.1
1-Feb-07,8.777777778,-1,54.3,3.576218149,1015.917,16
2-Feb-07,8.055555556,6.555555556,89.5,3.844434511,1009.14422,16.1
3-Feb-07,5.666666667,-0.888888889,66.7,8.359409924,1002.37144,16.2
4-Feb-07,6.888888889,-4.333333333,46,5.543138131,1002.37144,16.2
5-Feb-07,5.611111111,-7.055555556,62.7,5.543138131,998.98505,16.2
6-Feb-07,7.277777778,-4.722222222,45.3,5.721949039,1002.37144,15.8
7-Feb-07,6.944444444,-4.388888889,51.3,2.637460885,1012.53061,15.8
8-Feb-07,8.944444444,-1.611111111,63.8,2.324541797,1015.917,15.9
9-Feb-07,10.94444444,4.5,66.4,2.816271793,1012.53061,15.7
10-Feb-07,10.22222222,5,73.4,2.503352705,1009.14422,15.8
11-Feb-07,10.94444444,6.722222222,76.3,2.369244524,1012.53061,16
12-Feb-07,11.88888889,6.222222222,69.8,2.726866339,1009.14422,15.6
13-Feb-07,13.61111111,7.833333333,69.1,2.9950827,1005.75783,15.9
